epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1665,1.0177,1.91352,1.02248,0.83404,0.84615,0.85008,0.62244,0.88071,2.0313,0.91525,0.000659722,0.000659722,0.000659722
2,44.4331,0.95534,1.10576,0.96999,0.87493,0.91069,0.91673,0.68992,0.85561,1.11984,0.93398,0.00130013,0.00130013,0.00130013
3,66.2747,0.95137,0.86831,0.9861,0.9725,0.94083,0.97228,0.74486,0.84479,1.03502,0.95121,0.00191413,0.00191413,0.00191413
4,89.6515,0.91645,0.732,0.98318,0.98327,0.92899,0.97948,0.77895,0.80563,0.60968,0.92384,0.0018812,0.0018812,0.0018812
5,111.631,0.89451,0.68018,0.96911,0.93734,0.89941,0.95764,0.73544,0.86101,0.63762,0.94906,0.0018416,0.0018416,0.0018416
6,133.749,0.87006,0.62873,0.96546,0.98569,0.95858,0.98032,0.77731,0.76761,0.59501,0.92114,0.001802,0.001802,0.001802
7,155.995,0.85447,0.6097,0.95582,0.95706,0.92326,0.98293,0.75694,0.8682,0.6861,0.97636,0.0017624,0.0017624,0.0017624
8,175.797,0.83323,0.57469,0.94757,0.98589,0.97041,0.98664,0.8108,0.71461,0.52157,0.87941,0.0017228,0.0017228,0.0017228
9,194.994,0.81313,0.55825,0.93524,0.99408,0.99363,0.98911,0.78579,0.75704,0.5259,0.89764,0.0016832,0.0016832,0.0016832
10,214.08,0.78213,0.53549,0.92497,0.9824,0.99071,0.99057,0.81862,0.68807,0.47694,0.88588,0.0016436,0.0016436,0.0016436
11,233.387,0.80134,0.52669,0.93404,0.9816,0.98817,0.99155,0.78817,0.84773,0.46416,0.9113,0.001604,0.001604,0.001604
12,252.684,0.77795,0.52113,0.92766,0.96032,0.97041,0.98292,0.7996,0.79007,0.56779,0.92042,0.0015644,0.0015644,0.0015644
13,271.851,0.76324,0.49654,0.92597,0.98392,0.98817,0.99435,0.77603,0.81325,0.4652,0.91684,0.0015248,0.0015248,0.0015248
14,290.995,0.76065,0.49969,0.93311,0.97106,0.99408,0.9943,0.83133,0.68428,0.43031,0.87892,0.0014852,0.0014852,0.0014852
15,310.208,0.74363,0.48043,0.91491,0.98604,0.98225,0.99162,0.82252,0.72528,0.42875,0.8722,0.0014456,0.0014456,0.0014456
16,329.744,0.73197,0.46281,0.9178,0.98793,0.96875,0.98896,0.81747,0.72082,0.45258,0.90613,0.001406,0.001406,0.001406
17,349.268,0.73523,0.46385,0.91494,0.99374,0.98817,0.98917,0.83886,0.6481,0.39264,0.87256,0.0013664,0.0013664,0.0013664
18,368.591,0.72319,0.4547,0.91852,0.98466,0.97041,0.99182,0.83721,0.67932,0.40962,0.85921,0.0013268,0.0013268,0.0013268
19,387.941,0.71307,0.45075,0.90338,0.98232,0.98622,0.99103,0.8362,0.6807,0.40485,0.87392,0.0012872,0.0012872,0.0012872
20,407.265,0.69371,0.42625,0.89521,0.98233,0.98659,0.98918,0.81093,0.72268,0.41383,0.87018,0.0012476,0.0012476,0.0012476
21,426.613,0.68151,0.42829,0.89946,0.99401,0.98191,0.99224,0.84311,0.65619,0.3781,0.87594,0.001208,0.001208,0.001208
22,446.438,0.69451,0.44397,0.90224,0.99405,0.98776,0.99418,0.83479,0.68598,0.39295,0.86018,0.0011684,0.0011684,0.0011684
23,466.936,0.70401,0.43144,0.90338,0.98234,0.98744,0.99127,0.8506,0.65502,0.38985,0.85418,0.0011288,0.0011288,0.0011288
